APP_Libelle_activite_etablissement,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Libelle_commune_2,Date_inspection,Synthese_eval_sanit,Agrement,geores,Adresse_2_UA_2,filtre,Numero_inspection,SIRET
Mareyage et préparation de produits de la pêche,COMPAGNIE FRANCAISE DU THON OCEANIQUE,11 rue des sardiniers,29186,Concarneau,Concarneau,2024-02-21T01:00:00+01:00,Très satisfaisant,29039598,"47.877807,-3.907663",11 rue des sardiniers,,24-013922-1,37658058500036
Mareyage et préparation de produits de la pêche,GALLEN,LE PORT,22430,Erquy,Erquy,2024-01-18T01:00:00+01:00,Satisfaisant,22054077,"48.636196,-2.469577",LE PORT,,24-003160-1,37668047600052
Purification/Expédition de coquillages,GALLEN,LE PORT,22430,Erquy,Erquy,2024-01-18T01:00:00+01:00,Satisfaisant,22054077,"48.636196,-2.469577",LE PORT,,24-007679-1,37668047600052
Vivier produits de la pêche,GALLEN,LE PORT,22430,Erquy,Erquy,2024-01-18T01:00:00+01:00,Satisfaisant,22054077,"48.636196,-2.469577",LE PORT,,24-007690-1,37668047600052
Vivier produits de la pêche,SOCIETE D'EXPLOITATION LAURENT DANIEL,CRIEE BP42,29730,Guilvinec,Guilvinec,2024-03-21T01:00:00+01:00,Très satisfaisant,29072504,"47.799741,-4.285015",CRIEE BP42,,24-022565-1,37698026400018
Mareyage et préparation de produits de la pêche,SOCIETE D'EXPLOITATION LAURENT DANIEL,CRIEE BP42,29730,Guilvinec,Guilvinec,2024-03-21T01:00:00+01:00,Très satisfaisant,29072504,"47.799741,-4.285015",CRIEE BP42,,24-022568-1,37698026400018
Mareyage et préparation de produits de la pêche,SOCIETE D'EXPLOITATION LAURENT DANIEL,CRIEE BP42,29730,Guilvinec,Guilvinec,2024-03-21T01:00:00+01:00,Très satisfaisant,29072504,"47.799741,-4.285015",CRIEE BP42,,24-022569-1,37698026400018
Purification/Expédition de coquillages,SOCIETE D'EXPLOITATION LAURENT DANIEL,CRIEE BP42,29730,Guilvinec,Guilvinec,2024-03-21T01:00:00+01:00,Très satisfaisant,29072504,"47.799741,-4.285015",CRIEE BP42,,24-022570-1,37698026400018
Entreposage de distribution de denrées alimentaires,STG BRETAGNE SUD,RUE LAVOISIER,29500,Ergué-Gabéric,Ergué-Gabéric,2023-09-08T02:00:00+02:00,Satisfaisant,29051041,"47.998397,-4.047183",RUE LAVOISIER,,23-071133-1,37708005600023
Rayon boucherie-charcuterie,PONT-L'ABBE DISTRIBUTION,ROUTE DE SAINT JEAN,29120,Pont-l'Abbé,Pont-l'Abbé,2023-11-23T01:00:00+01:00,Très satisfaisant,,"47.864223,-4.23369",ROUTE DE SAINT JEAN,Supermarchés/alimentation générale,23-096815-1,37708031200020
Centre d'emballage des oeufs,SOCIETE MICHEL LE ROUX,KERROUE,29500,Ergué-Gabéric,Ergué-Gabéric,2023-10-24T02:00:00+02:00,Très satisfaisant,29051030,"47.993629,-3.987533",KERROUE,,23-088302-1,37728052400010
Préparation de produits composés,BISCUITERIE LE GLAZIK,ZONE INDUSTRIELLE 2,29510,Briec,Briec,2023-09-07T02:00:00+02:00,Très satisfaisant,,"48.066509,-3.929619",ZONE INDUSTRIELLE 2,,23-080744-1,37738098500038
Poissonnerie,LA PETITE PECHE,10 RUE DE LA GARE,29380,Bannalec,Bannalec,2023-08-21T02:00:00+02:00,Très satisfaisant,,"48.06491,-2.96589",10 RUE DE LA GARE,Métiers de bouche,23-075401-1,37749168300019
Restaurants,LA RESERVE,42 AV GABRIEL,75008,Paris 8e  Arrondissement,Paris 8e  Arrondissement,2023-10-27T02:00:00+02:00,Très satisfaisant,,"48.8697,2.313271",42 AV GABRIEL,Restaurants,23-088883-1,37751843600110
Restaurants,LA RESERVE,42 AV GABRIEL,75008,Paris 8e  Arrondissement,Paris 8e  Arrondissement,2023-10-27T02:00:00+02:00,Satisfaisant,,"48.8697,2.313271",42 AV GABRIEL,Restaurants,23-096083-1,37751843600110
Restauration collective,KORIAN LA BASTIDE,Chemin des Horts,7700,Bourg-Saint-Andéol,Bourg-Saint-Andéol,2024-01-10T01:00:00+01:00,Satisfaisant,,"44.367181,4.644731",Chemin des Horts,Restauration collective,24-001085-1,37755237700014
Restauration collective,KORIAN DROME PROVENCALE,15 avenue du midi,26450,Charols,Charols,2024-06-13T02:00:00+02:00,A améliorer,,"44.591497,4.952011",15 avenue du midi,Restauration collective,24-048345-1,37755237700022
Rayon boucherie-charcuterie,SA ESPE,ROUTE DE QUILLAN,11260,Espéraza,Espéraza,2024-04-10T02:00:00+02:00,Très satisfaisant,,"42.933975,2.210466",ROUTE DE QUILLAN,Supermarchés/alimentation générale,24-040111-1,37755719400018
Traiteur|Boucherie-Charcuterie,L T F,Rue Saint Eloi,61100,Saint-Georges-des-Groseillers,Saint-Georges-des-Groseillers,2024-06-18T02:00:00+02:00,Très satisfaisant,,"48.777252,-0.569014",Rue Saint Eloi,Métiers de bouche,24-051224-1,37755724400029
Transformation de produits carnés,EARL LA FERME DE GREOULOU,LE GREOULOU,9300,Sautel,Sautel,2023-10-24T02:00:00+02:00,Très satisfaisant,09160003,"42.956141,1.816785",LE GREOULOU,,23-011760-1,37757691300018
Découpe de viandes de volailles/lagomorphe,EARL LA FERME DE GREOULOU,LE GREOULOU,9300,Sautel,Sautel,2023-10-24T02:00:00+02:00,Très satisfaisant,09160003,"42.956141,1.816785",LE GREOULOU,,23-011763-1,37757691300018
Restaurants,HOTEL IBIS STYLES ET LA TAVERNE,6 place Cadelade,43000,Le Puy-en-Velay,Le Puy-en-Velay,2024-03-20T01:00:00+01:00,Satisfaisant,,"45.043079,3.888193",6 place Cadelade,Restaurants,24-020074-1,37761422700017
Métier de bouche,ROUX DANIEL,92 RUE PELLEPORT,75020,Paris 20e  Arrondissement,Paris 20e  Arrondissement,2023-09-14T02:00:00+02:00,Satisfaisant,,"48.868197,2.401677",92 RUE PELLEPORT,Métiers de bouche,23-072757-1,37762393900040
Restaurants,KYRIAD,ZI DE BASTILLAC,65000,Tarbes,Tarbes,2024-01-25T01:00:00+01:00,Très satisfaisant,,"43.220751,0.042571",ZI DE BASTILLAC,Restaurants,24-048588-1,37764428100018
Chaîne d'abattage de volaille/lagomorphe/petit gibier,EARL DU VAL DE NOYE,2 RUE DU PONT DES ANES,60120,Paillart,Paillart,2024-06-11T02:00:00+02:00,Très satisfaisant,60486001,"49.667328,2.327813",2 RUE DU PONT DES ANES,,24-004013-1,37765143500010
Découpe de viandes de volailles/lagomorphe,MOULARD BASTIEN,Le Cros,31470,Bragayrac,Bragayrac,2023-10-25T02:00:00+02:00,Satisfaisant,31087001,"43.502472,1.074186",Le Cros,,23-091438-1,37766607800011
Transformation de produits carnés,MOULARD BASTIEN,Le Cros,31470,Bragayrac,Bragayrac,2023-10-25T02:00:00+02:00,Satisfaisant,31087001,"43.502472,1.074186",Le Cros,,23-091444-1,37766607800011
Salle d'abattage à la ferme,MOULARD BASTIEN,Le Cros,31470,Bragayrac,Bragayrac,2024-03-20T01:00:00+01:00,Très satisfaisant,31087001,"43.502472,1.074186",Le Cros,,24-019747-1,37766607800011
Transformation de lait ou produits laitiers,SOPAGLACE,11 Impasse Charles Tellier,79210,Mauzé-sur-le-Mignon,Mauzé-sur-le-Mignon,2024-07-09T02:00:00+02:00,Très satisfaisant,79170001,"46.19094,-0.681012",11 Impasse Charles Tellier,,24-062937-1,37767282900027
Purification/Expédition de coquillages,SARL VIVIERS DAUPHIN,PORS EVEN,22620,Ploubazlanec,Ploubazlanec,2024-02-29T01:00:00+01:00,Très satisfaisant,22210001,"48.800455,-3.008317",PORS EVEN,,24-014122-1,37769360100017
Vivier produits de la pêche,SARL VIVIERS DAUPHIN,PORS EVEN,22620,Ploubazlanec,Ploubazlanec,2024-02-29T01:00:00+01:00,Très satisfaisant,22210001,"48.800455,-3.008317",PORS EVEN,,24-019185-1,37769360100017
Restauration collective,LES BLOUINES,24 GRANDE RUE,49250,Les Bois d'Anjou,Les Bois d'Anjou,2024-02-26T01:00:00+01:00,Satisfaisant,,"47.452113,-0.158335",24 GRANDE RUE,Restauration collective,24-013632-1,37769643000018
Chaîne d'abattage de volaille/lagomorphe/petit gibier,DUGACHARD Chantal,,64370,Mesplède,Mesplède,2024-06-06T02:00:00+02:00,A améliorer,,"43.494699,-0.658241",,,24-039990-1,37770927400015
Découpe de viande de boucherie,KRILL,BP 198,19100,Brive-la-Gaillarde,Brive-la-Gaillarde,2024-01-16T01:00:00+01:00,Satisfaisant,19031005,"45.148038,1.517353",BP 198,,24-004061-1,37771444900024
Restauration collective,RESIDENCE DU CASTEL,"48, rue du château",6440,L'Escarène,L'Escarène,2024-05-14T02:00:00+02:00,Satisfaisant,,"43.832528,7.352947","48, rue du château",Restauration collective,24-034446-1,37772412500010
Purification/Expédition de coquillages,EARL BERNARD,route de la corniche,17940,Rivedoux-Plage,Rivedoux-Plage,2024-04-18T02:00:00+02:00,Satisfaisant,17297003,"46.166898,-1.28274",route de la corniche,,24-027516-1,37774079000011
Transformation de produits carnés,BRETZELS MORICETTES MFP POULAILLON,176 RUE DE BELFORT,68200,Mulhouse,Mulhouse,2024-01-02T01:00:00+01:00,Très satisfaisant,68224005,"47.739764,7.301036",176 RUE DE BELFORT,,24-000041-1,37774465100078
Transformation de produits de la pêche,BRETZELS MORICETTES MFP POULAILLON,176 RUE DE BELFORT,68200,Mulhouse,Mulhouse,2024-01-02T01:00:00+01:00,Très satisfaisant,68224005,"47.739764,7.301036",176 RUE DE BELFORT,,24-000041-2,37774465100078
Restaurants,GAUDY MURIELLE,La Vinzelle,12320,Conques-en-Rouergue,Conques-en-Rouergue,2024-05-24T02:00:00+02:00,Satisfaisant,,"44.643276,2.343734",La Vinzelle,Restaurants,24-038700-1,37774740700015
Restaurants,LES PRES DE MONTAL,LE BOURG,46400,Saint-Jean-Lespinasse,Saint-Jean-Lespinasse,2024-05-22T02:00:00+02:00,Satisfaisant,,"44.865147,1.862029",LE BOURG,Restaurants,24-037248-1,37775476700012
Restaurants,MILLENNIUM CHARLES DE GAULLE PARIS,"2, allée du Verger",95700,Roissy-en-France,Roissy-en-France,2024-06-20T02:00:00+02:00,Satisfaisant,,"49.005726,2.520555","2, allée du Verger",Restaurants,24-052647-1,37780560100020
Boulangerie-Pâtisserie|Glacier|Traiteur,CHEZ FRANCOIS,CC CARREFOUR,2000,Laon,Laon,2024-07-23T02:00:00+02:00,Très satisfaisant,,"49.549057,3.616472",CC CARREFOUR,Métiers de bouche,24-070215-1,37780796100018
Restaurants,NASSIM,66 AV PAUL VAILLANT-COUTURIER,93120,La Courneuve,La Courneuve,2024-06-17T02:00:00+02:00,Satisfaisant,,"48.921513,2.411707",66 AV PAUL VAILLANT-COUTURIER,Restaurants,24-049990-1,37783095500011
Restaurants,LA MARINA,"76, rue de Vannes",35600,Redon,Redon,2024-07-09T02:00:00+02:00,Très satisfaisant,,"47.64414,-2.091366","76, rue de Vannes",Restaurants,24-063540-1,37784085500045
Restaurants,HOTEL : KYRIAD - RESTAURANT : MOZE,8 RUE DU PERE POTOT,57000,Metz,Metz,2023-12-04T01:00:00+01:00,Très satisfaisant,,"49.113621,6.17885",8 RUE DU PERE POTOT,Restaurants,23-100981-1,37784803100037
Chaîne d'abattage de volaille/lagomorphe/petit gibier,EARL DU MOULIN,1 bis rue du Moulin,51510,Matougues,Matougues,2023-09-28T02:00:00+02:00,Très satisfaisant,51357070,"48.995294,4.241129",1 bis rue du Moulin,,23-081996-1,37784974000024
Libre service|Rayon poissonnerie|Rayon fromagerie|Rayon traiteur|Rayon boucherie-charcuterie,LSD,AV JEAN JAURES,23300,La Souterraine,La Souterraine,2024-03-11T01:00:00+01:00,Très satisfaisant,,"46.237899,1.479404",AV JEAN JAURES,Supermarchés/alimentation générale,24-034311-1,37786562100041
Restaurants,SARL LA CREMAILLERE,171 PL DE LA GARE,62220,Carvin,Carvin,2024-04-11T02:00:00+02:00,Satisfaisant,,"50.490998,2.95329",171 PL DE LA GARE,Restaurants,24-055981-1,37786875700024
Chaîne d'abattage de volaille/lagomorphe/petit gibier,DELANNOY HENRI,664 route de Beauvais,60390,Auneuil,Auneuil,2023-12-19T01:00:00+01:00,Satisfaisant,,"49.377643,1.993422",664 route de Beauvais,,23-107544-1,37788113100017
Chaîne d'abattage de volaille/lagomorphe/petit gibier,CUMA TRADITION CHALOSSAISE,PEYRANET,40250,Mugron,Mugron,2024-02-06T01:00:00+01:00,Satisfaisant,40201001,"43.747684,-0.755014",PEYRANET,,23-110328-1,37788306100014
Entreposage de distribution de denrées alimentaires,SA ENTREPOT FRIGORIFIQUE DE BRESSUIRE,"zone n° 4, 84 Bd de Thouars",79300,Bressuire,Bressuire,2024-04-10T02:00:00+02:00,Très satisfaisant,79049005,"46.84999,-0.467265","zone n° 4, 84 Bd de Thouars",,24-024807-1,37789190800016
Restauration collective,DEIBER ERIC,2 PLACE CHARLES DE GAULLE,68630,Mittelwihr,Mittelwihr,2024-06-20T02:00:00+02:00,Satisfaisant,68209004,"48.150204,7.319894",2 PLACE CHARLES DE GAULLE,Restauration collective,24-052043-1,37791046800018
Restauration collective,MAISON BLEUE LA DESIRADE,12 avenue Pierre Mendès France,30400,Villeneuve-lès-Avignon,Villeneuve-lès-Avignon,2024-03-27T01:00:00+01:00,Satisfaisant,,"43.978099,4.784346",12 avenue Pierre Mendès France,Restauration collective,24-013452-1,37791999800023
Rayon boucherie-charcuterie,LEVIGNAL,INTERMARCHE,46600,Martel,Martel,2024-07-03T02:00:00+02:00,Satisfaisant,,"44.937314,1.612629",INTERMARCHE,Supermarchés/alimentation générale,24-058772-1,37793111800014
Rayon poissonnerie,LEVIGNAL,INTERMARCHE,46600,Martel,Martel,2024-07-24T02:00:00+02:00,Très satisfaisant,,"44.937314,1.612629",INTERMARCHE,Supermarchés/alimentation générale,24-069388-1,37793111800014
Purification/Expédition de coquillages,SARL D'EXPLOITATION ANDRE,9 - LA MATTE A NAULLEAU,85230,Beauvoir-sur-Mer,Beauvoir-sur-Mer,2024-03-07T01:00:00+01:00,Satisfaisant,85018504,"46.938592,-2.076082",9 - LA MATTE A NAULLEAU,,23-110939-1,37793747900014
Découpe de viande de boucherie,BOUCHERIE MORACCHINI ATELIER DE DECOUPE DU CORTENAIS,ZA,20250,Corte,Corte,2023-09-21T02:00:00+02:00,Satisfaisant,2B096040,"42.307219,9.15798",ZA,,23-077484-1,37795749300028
Découpe de fromages,FROMAGERIE ROY,"3, rue du Moulin",39290,Brans,Brans,2023-11-23T01:00:00+01:00,Satisfaisant,39074001,"47.23233,5.568125","3, rue du Moulin",,23-096685-1,37795788100016
Caves d'affinage,FROMAGERIE ROY,"3, rue du Moulin",39290,Brans,Brans,2023-11-23T01:00:00+01:00,Satisfaisant,39074001,"47.23233,5.568125","3, rue du Moulin",,23-096709-1,37795788100016
Restaurants,CHEZ AHNNA,"54, RUE DES ROSIERS",75004,Paris 4e  Arrondissement,Paris 4e  Arrondissement,2024-01-22T01:00:00+01:00,Satisfaisant,,"48.857791,2.358206","54, RUE DES ROSIERS",Restaurants,24-003603-1,37797934900018
Restaurants,NOSHERY,4 AV MICHELET,93400,Saint-Ouen-sur-Seine,Saint-Ouen-sur-Seine,2024-06-20T02:00:00+02:00,Satisfaisant,,"48.913662,2.34404",4 AV MICHELET,Restaurants,24-052325-1,37798159200050
Restaurants,AU COTE D'ARGENT,PARKING DE LA PLAGE,62100,Calais,Calais,2024-06-20T02:00:00+02:00,Satisfaisant,,,PARKING DE LA PLAGE,Restaurants,24-051946-1,37799398500011
Transformation de lait ou produits laitiers,GAEC DES ROCHES DU DARD,FERME DE TEIGNE,25430,Sancey,Sancey,2023-10-26T02:00:00+02:00,Satisfaisant,25529002,"47.280175,6.568722",FERME DE TEIGNE,,23-088303-1,37801039100019
Restaurants,LE GRAND DAGUE,RTE DU GRAND DAGUE,24750,Boulazac Isle Manoire,Boulazac Isle Manoire,2023-08-30T02:00:00+02:00,Satisfaisant,,"45.147029,0.7718",RTE DU GRAND DAGUE,Restaurants,23-035429-1,37801286800030
Restaurants,SYLVIA RESTO,SYLVIA RESTO,97220,La Trinité,La Trinité,2024-06-11T02:00:00+02:00,Satisfaisant,,,SYLVIA RESTO,Restaurants,24-048456-1,37802095200032
Producteurs fermiers,GAEC LA CLEF DES CHAMPS,Le Chausse,43450,Blesle,Blesle,2023-11-07T01:00:00+01:00,Satisfaisant,,"45.318925,3.214772",Le Chausse,Producteurs fermiers,23-100776-1,37802634800011
Chaîne d'abattage de volaille/lagomorphe/petit gibier,EARL BERGERAS,1791 Route Départementale 944,64410,Méracq,Méracq,2023-10-02T02:00:00+02:00,Satisfaisant,64380001,"43.516449,-0.388704",1791 Route Départementale 944,,23-030319-1,37802785800018
Restaurants,HOTEL ATHENEE,HOTEL ATHENEE,75009,Paris 9e  Arrondissement,Paris 9e  Arrondissement,2024-05-30T02:00:00+02:00,Très satisfaisant,,,HOTEL ATHENEE,Restaurants,24-041307-1,37802871600033
Purification/Expédition de coquillages,EARL LA PERLE DU PERTUIS,CHEMIN DES BELLES NUITS,85460,L'Aiguillon-la-Presqu’île,L'Aiguillon-la-Presqu’île,2024-07-15T02:00:00+02:00,Très satisfaisant,85307506,"46.334767,-1.309635",CHEMIN DES BELLES NUITS,,24-062979-1,37803100900012
Restaurants,TONTON BANH MI,53 RUE DU CHEMIN VERT,75011,Paris 11e  Arrondissement,Paris 11e  Arrondissement,2023-09-06T02:00:00+02:00,Très satisfaisant,,"48.859564,2.376067",53 RUE DU CHEMIN VERT,Restaurants,23-071125-1,37804030700035
Restaurants,Hôtel MESLAY REPUBLIQUE,3 RUE MESLAY,75003,Paris 3e  Arrondissement,Paris 3e  Arrondissement,2024-03-11T01:00:00+01:00,Très satisfaisant,,"48.86725,2.362247",3 RUE MESLAY,Restaurants,24-017318-1,37804257600017
Restaurants,LE BASTA,LE BASTA,64200,Biarritz,Biarritz,2024-07-02T02:00:00+02:00,Très satisfaisant,,"43.448182,-1.517732",LE BASTA,Restaurants,24-052406-1,37804438200018
Restaurants,B&B HOTELS,2 BD BERTHIER,75017,Paris 17e  Arrondissement,Paris 17e  Arrondissement,2023-08-21T02:00:00+02:00,Très satisfaisant,,"48.894505,2.312564",2 BD BERTHIER,Restaurants,23-064864-1,37804750002547
Restaurants,GOLD,Domaine des Vanneaux,95290,L'Isle-Adam,L'Isle-Adam,2024-05-29T02:00:00+02:00,Satisfaisant,,"49.122478,2.2621",Domaine des Vanneaux,Restaurants,24-040843-1,37805707900030
Chaîne d'abattage de volaille/lagomorphe/petit gibier,GAEC D'EN JACQUET,EN JACQUET,82500,Faudoas,Faudoas,2023-11-28T01:00:00+01:00,Très satisfaisant,,"43.842839,0.952259",EN JACQUET,,23-027579-1,37805931500010
Mareyage et préparation de produits de la pêche,EURL JEAN DEROY,42 bd Carnot,59153,Grand-Fort-Philippe,Grand-Fort-Philippe,2023-12-07T01:00:00+01:00,Satisfaisant,59272101,"51.002298,2.107569",42 bd Carnot,,23-103821-1,37806493500034
Rayon boucherie-charcuterie,CARREFOUR MARKET,AVENUE DE RODEZ,12450,Luc-la-Primaube,Luc-la-Primaube,2024-02-15T01:00:00+01:00,Très satisfaisant,,"44.307051,2.557441",AVENUE DE RODEZ,Supermarchés/alimentation générale,24-040400-1,37806695500014
Rayon fromagerie,CARREFOUR MARKET,AVENUE DE RODEZ,12450,Luc-la-Primaube,Luc-la-Primaube,2024-02-15T01:00:00+01:00,Très satisfaisant,,"44.307051,2.557441",AVENUE DE RODEZ,Supermarchés/alimentation générale,24-040423-1,37806695500014
Restaurants,NAUSICAA,BOULEVARD SAINTE BEUVE BP189,62203,Boulogne-sur-Mer,Boulogne-sur-Mer,2024-05-02T02:00:00+02:00,Très satisfaisant,,"50.730471,1.594396",BOULEVARD SAINTE BEUVE BP189,Restaurants,24-046850-1,37807474400020
Commerce alimentaire,SARL GALMOR,27 PLACE FOCHE,29260,Lesneven,Lesneven,2024-06-20T02:00:00+02:00,Très satisfaisant,,"48.573152,-4.323085",27 PLACE FOCHE,,24-052202-1,37809269600020
Restaurants,SARL GALMOR,27 PLACE FOCHE,29260,Lesneven,Lesneven,2024-06-20T02:00:00+02:00,Très satisfaisant,,"48.573152,-4.323085",27 PLACE FOCHE,Restaurants,24-052349-1,37809269600020
Producteurs fermiers,GAEC ORTIZ,2727 voie Romaine,63190,Saint-Jean-d'Heurs,Saint-Jean-d'Heurs,2024-03-08T01:00:00+01:00,Satisfaisant,,"45.834241,3.456148",2727 voie Romaine,Producteurs fermiers,23-111020-1,37809655600014
Restaurants,HOTELF1,FORMULE 1,59370,Mons-en-Baroeul,Mons-en-Baroeul,2024-04-18T02:00:00+02:00,Satisfaisant,,"50.646232,3.106612",FORMULE 1,Restaurants,24-027637-1,37811411000398
Restaurants,HOTELF1,CHEMIN DE BERGNIEULLES,62231,Coquelles,Coquelles,2024-07-02T02:00:00+02:00,Satisfaisant,,"50.942564,1.801977",CHEMIN DE BERGNIEULLES,Restaurants,24-061475-1,37811411001172
Restaurants,CALVEZ JEAN MARC,14 GRAND PLACE,29430,Lanhouarneau,Lanhouarneau,2024-05-15T02:00:00+02:00,Satisfaisant,,"48.579144,-4.210063",14 GRAND PLACE,Restaurants,24-034887-1,37813367200014
Restauration collective,KORIAN MARISOL,33 AV LEON JOUHAUX,93270,Sevran,Sevran,2024-02-22T01:00:00+01:00,Satisfaisant,,"48.939302,2.535878",33 AV LEON JOUHAUX,Restauration collective,24-017630-1,37815842200188
Restauration collective,ASSOC RESTAURANT ADMINIS HOTEL IMPOTS,"65,Bd Berthelot",63000,Clermont-Ferrand,Clermont-Ferrand,2023-09-06T02:00:00+02:00,Très satisfaisant,,"45.781912,3.071395","65,Bd Berthelot",Restauration collective,23-006346-1,37816440400014
Restauration collective,MBDA FRANCE,Route départementale D2151,18570,Le Subdray,Le Subdray,2024-05-03T02:00:00+02:00,Satisfaisant,,"47.033125,2.312389",Route départementale D2151,Restauration collective,24-032652-1,37816847000110
Boucherie-Charcuterie,PRADIER DANIEL,645 CHE DE CHATEAUNEUF,26160,Salettes,Salettes,2023-08-31T02:00:00+02:00,Satisfaisant,,"44.563357,4.958667",645 CHE DE CHATEAUNEUF,Métiers de bouche,23-069219-1,37819517600037
Traiteur|Boucherie-Charcuterie,PRADIER DANIEL,645 CHE DE CHATEAUNEUF,26160,Salettes,Salettes,2024-07-02T02:00:00+02:00,Satisfaisant,,"44.563357,4.958667",645 CHE DE CHATEAUNEUF,Métiers de bouche,23-112632-1,37819517600037
Restaurants,OEHLER FREDDI,3 AV DE L HOTEL DE VILLE,11200,Roubia,Roubia,2024-05-21T02:00:00+02:00,Satisfaisant,,"43.246709,2.80273",3 AV DE L HOTEL DE VILLE,Restaurants,24-037511-1,37820996900054
Transformation de lait ou produits laitiers,GAEC DE VOUHEIX,Vouheix,63680,La Tour-d'Auvergne,La Tour-d'Auvergne,2024-06-06T02:00:00+02:00,Très satisfaisant,63192006,"45.533314,2.689828",Vouheix,,24-000771-1,37821451400010
Transformation de lait ou produits laitiers,GAEC DE LA PLAINE,La plaine,63680,Chastreix,Chastreix,2024-05-28T02:00:00+02:00,Très satisfaisant,63098008,"45.513,2.752",La plaine,,24-003949-1,37821508100019
Centre d'emballage des oeufs,GAEC DU GRAND CHAMP,4 RUE DU LAVOIR,90150,Vauthiermont,Vauthiermont,2023-09-19T02:00:00+02:00,Satisfaisant,90100001,"47.684413,7.029757",4 RUE DU LAVOIR,,23-089634-1,37821617000027
Libre service,SOCADIS,"LA RECTORIE, Rte des crètes",66650,Banyuls-sur-Mer,Banyuls-sur-Mer,2024-03-06T01:00:00+01:00,Satisfaisant,,"42.47704,3.125369","LA RECTORIE, Rte des crètes",Supermarchés/alimentation générale,24-021895-1,37821944800016
Producteurs fermiers,GAEC COMPAGNON JEAN CLAUDE,LA LIEME,39570,Pannessières,Pannessières,2023-10-24T02:00:00+02:00,Satisfaisant,,"46.695877,5.595909",LA LIEME,Producteurs fermiers,23-086907-1,37823789500016
Restaurants,ESCALE OCEANIA,12 AV DE LA CIBLE,13100,Aix-en-Provence,Aix-en-Provence,2024-06-25T02:00:00+02:00,Très satisfaisant,,"43.512952,5.461419",12 AV DE LA CIBLE,Restaurants,24-054584-1,37824334900024
Restauration collective,LES PITCHOUNS ABBEVILLOIS,2 RUE DES BOULEAUX,80100,Abbeville,Abbeville,2024-02-20T01:00:00+01:00,Très satisfaisant,,"50.107898,1.855627",2 RUE DES BOULEAUX,Restauration collective,24-013765-1,37827314800015
Transformation de produits carnés,SOKHA,"13, avenue Karl Marx",69120,Vaulx-en-Velin,Vaulx-en-Velin,2024-01-22T01:00:00+01:00,Satisfaisant,69256005,"45.776454,4.937644","13, avenue Karl Marx",,24-005632-1,37827387400016
Restaurants,HOTEL DU GOLF SA ALBATROS,HOTEL DU GOLF,42000,Saint-Étienne,Saint-Étienne,2024-03-28T01:00:00+01:00,Satisfaisant,,"45.438977,4.38759",HOTEL DU GOLF,Restaurants,24-023311-1,37828915100011
Transformation de produits carnés,LES CANARDS DU VAL DE LUCE,12 rue Jacques Hodin,80110,Thennes,Thennes,2024-05-02T02:00:00+02:00,Satisfaisant,80751001,"49.812098,2.471075",12 rue Jacques Hodin,,24-033024-1,37832096400018
Producteurs fermiers,EARL LOMBARD ET FILS,2 RUE DE LA LIBERATION,77520,Donnemarie-Dontilly,Donnemarie-Dontilly,2024-06-26T02:00:00+02:00,Très satisfaisant,,"48.478388,3.124874",2 RUE DE LA LIBERATION,Producteurs fermiers,24-056047-1,37834584700016
Restaurants,LE PRADINAS,,30140,Mialet,Mialet,2024-03-29T01:00:00+01:00,Très satisfaisant,,"44.117138,3.938934",,Restaurants,24-040913-1,37836003600016
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,SOCIETE D'EXPLOITATION DES ABATTOIRS D'ANNONAY,81 route de la Roche Péréandre,7100,Annonay,Annonay,2023-10-30T01:00:00+01:00,Satisfaisant,07010001,"45.23323,4.675262",81 route de la Roche Péréandre,,23-023436-1,37838774000012
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,SOCIETE D'EXPLOITATION DES ABATTOIRS D'ANNONAY,81 route de la Roche Péréandre,7100,Annonay,Annonay,2023-10-30T01:00:00+01:00,Satisfaisant,07010001,"45.23323,4.675262",81 route de la Roche Péréandre,,23-097933-1,37838774000012
Boulangerie-Pâtisserie,MONOP'DAILY,5 place Charles Béraudier,69003,Lyon 3e  Arrondissement,Lyon 3e  Arrondissement,2024-04-02T02:00:00+02:00,Satisfaisant,,"45.761148,4.859292",5 place Charles Béraudier,Métiers de bouche,24-075721-1,37839003300041
Chaîne d'abattage de volaille/lagomorphe/petit gibier,ERNEST SOULARD,Rue de l'industrie,85140,Essarts en Bocage,Essarts en Bocage,2024-05-14T02:00:00+02:00,Satisfaisant,85165001,"46.802023,-1.127609",Rue de l'industrie,,24-032552-1,37840398400016
Transformation de produits carnés,ERNEST SOULARD,9 RUE DE L INDUSTRIE L OIE,85140,Essarts en Bocage,Essarts en Bocage,2024-03-19T01:00:00+01:00,Satisfaisant,85084002,"46.80211,-1.127651",9 RUE DE L INDUSTRIE L OIE,,24-019929-1,37840398400040
"VH, VSM, préparation viandes volailles lagomorphes",ERNEST SOULARD,9 RUE DE L INDUSTRIE L OIE,85140,Essarts en Bocage,Essarts en Bocage,2024-03-19T01:00:00+01:00,Satisfaisant,85084002,"46.80211,-1.127651",9 RUE DE L INDUSTRIE L OIE,,24-033781-1,37840398400040
