APP_Libelle_activite_etablissement,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Libelle_commune_2,Date_inspection,Synthese_eval_sanit,Agrement,geores,Adresse_2_UA_2,filtre,Numero_inspection,SIRET
Rayon boucherie-charcuterie,E LECLERC,Centre commercial Grand Sud,20137,Porto-Vecchio,Porto-Vecchio,2024-07-10T02:00:00+02:00,Très satisfaisant,,"41.534685,9.275788",Centre commercial Grand Sud,Supermarchés/alimentation générale,24-065621-1,04712001900022
Rayon traiteur,E LECLERC,Centre commercial Grand Sud,20137,Porto-Vecchio,Porto-Vecchio,2024-07-10T02:00:00+02:00,Très satisfaisant,,"41.534685,9.275788",Centre commercial Grand Sud,Supermarchés/alimentation générale,24-065622-1,04712001900022
Restaurants,HOTEL CAMPO DELL'ORO,ROUTE DE  CAMPO DELL'ORO,20000,Ajaccio,Ajaccio,2024-02-21T01:00:00+01:00,Très satisfaisant,,"41.928613,8.777515",ROUTE DE  CAMPO DELL'ORO,Restaurants,24-045910-1,04712016700011
Restaurants,OCEAN BAMBO,OCEANE BAMBO,97660,Bandrele,Bandrele,2024-07-10T02:00:00+02:00,Satisfaisant,,"-12.933819,45.201082",OCEANE BAMBO,Restaurants,24-063515-1,05439754200017
Restaurants,LA MOANA,LA MOANA,97600,Mamoudzou,Mamoudzou,2023-10-20T02:00:00+02:00,Satisfaisant,,"-12.778628,45.231925",LA MOANA,Restaurants,23-089346-1,05439978700016
Production d'œuf liquide d'ovoproduit et produits à base œuf,IGRECA,ZA LES MULOTTIERES,49140,Seiches-sur-le-Loir,Seiches-sur-le-Loir,2023-12-19T01:00:00+01:00,Satisfaisant,49333002,"47.571675,-0.357506",ZA LES MULOTTIERES,,23-108427-1,05720093300042
Mareyage et préparation de produits de la pêche,LES FILS DE PIERRE ESPOSITO,Anse de Saumaty,13016,Marseille 16e  Arrondissement,Marseille 16e  Arrondissement,2024-02-20T01:00:00+01:00,Satisfaisant,13216009,"43.36017,5.320479",Anse de Saumaty,,24-011098-1,05780940200027
Restaurants,CLUB PALM BEACH,2 PROMENADE GEORGES POMPIDOU,13008,Marseille 8e  Arrondissement,Marseille 8e  Arrondissement,2024-03-13T01:00:00+01:00,Très satisfaisant,,"43.265176,5.373613",2 PROMENADE GEORGES POMPIDOU,Restaurants,24-017939-1,05881265200012
Transformation de lait ou produits laitiers,FROMAGERIE DU DAUPHINE,1940 route départementale 1092,38470,Têche,Têche,2024-02-12T01:00:00+01:00,Satisfaisant,38500001,"45.192114,5.389817",1940 route départementale 1092,,24-012802-1,05950113000013
Transformation de lait ou produits laitiers,SA FROMAGERIE ALPINE,37 AVENUE DES ALLOBROGES,26100,Romans-sur-Isère,Romans-sur-Isère,2023-11-28T01:00:00+01:00,Très satisfaisant,26281001,"45.055348,5.091842",37 AVENUE DES ALLOBROGES,,23-099322-1,06050206900028
Production d'abats,SOCIETE TARDY,"27, Traverse Antoine Donaz",13015,Marseille 15e  Arrondissement,Marseille 15e  Arrondissement,2024-08-06T02:00:00+02:00,Très satisfaisant,13215012,"43.323798,5.369708","27, Traverse Antoine Donaz",,24-075894-1,06080034900023
Transformation de lait ou produits laitiers,L ABEILLE,ZI DE L'APPENTIERE,49280,Mazières-en-Mauges,Mazières-en-Mauges,2024-04-16T02:00:00+02:00,Satisfaisant,49195002,"47.057894,-0.803271",ZI DE L'APPENTIERE,,24-031553-1,06220022500027
Restauration collective,PANIMA,IRONI BE,97660,Dembeni,Dembeni,2023-12-27T01:00:00+01:00,A améliorer,97607016,"-12.831348,45.188615",IRONI BE,Restauration collective,23-013362-1,06631017800018
Transport de denrées alimentaires,PANIMA,IRONI BE,97660,Dembeni,Dembeni,2024-03-21T01:00:00+01:00,Satisfaisant,,"-12.831348,45.188615",IRONI BE,,24-013652-1,06631017800018
Restaurants,REST'OR,ZONE INDUSTRIELLE DE KAWENI,97600,Mamoudzou,Mamoudzou,2023-12-14T01:00:00+01:00,Satisfaisant,,"-12.766231,45.228309",ZONE INDUSTRIELLE DE KAWENI,Restaurants,23-013262-1,06635142000022
Restaurants,TARMIDHI ALI,50 A RUE DE LA POMPE,97600,Mamoudzou,Mamoudzou,2023-10-04T02:00:00+02:00,Satisfaisant,,"-12.782104,45.23076",50 A RUE DE LA POMPE,Restaurants,23-079847-1,06635189100016
Découpe de viande de boucherie,GIFFAUD VIANDES ANGERS,2 rue des Ajoncs,49070,Beaucouzé,Beaucouzé,2024-03-13T01:00:00+01:00,Très satisfaisant,49020054,"47.464229,-0.629751",2 rue des Ajoncs,,24-018639-1,06820069000052
Restauration collective,OGEC ASSOCIATION DES FAMILLES DE L EXTERNAT NOTRE DAME,43 AV MARCELIN BERTHELOT,38100,Grenoble,Grenoble,2023-08-29T02:00:00+02:00,Très satisfaisant,,"45.174185,5.732867",43 AV MARCELIN BERTHELOT,Restauration collective,23-069515-1,06950205200017
Rayon poissonnerie,E.LECLERC,RTE DE NANTES - SEGRE,49500,Segré-en-Anjou Bleu,Segré-en-Anjou Bleu,2024-05-14T02:00:00+02:00,Très satisfaisant,,"47.639907,-0.858301",RTE DE NANTES - SEGRE,Supermarchés/alimentation générale,24-034531-1,07020113200027
Transformation de produits carnés,LA PROVENCALE ALIMENTAIRE,"19, Bd. Pons",13014,Marseille 14e  Arrondissement,Marseille 14e  Arrondissement,2024-06-06T02:00:00+02:00,Satisfaisant,13214012,"43.317036,5.383968","19, Bd. Pons",,24-044562-1,07380576400013
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2023-10-09T02:00:00+02:00,Très satisfaisant,59666001,"50.885364,2.374584",38 Route de Saint Omer,,23-085088-1,07565049900017
Chaîne d'abattage d'animaux boucherie/Gibier ongulé élevage,MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2023-10-09T02:00:00+02:00,Très satisfaisant,59666001,"50.885364,2.374584",38 Route de Saint Omer,,23-085088-2,07565049900017
Transformation de produits carnés,MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2024-02-05T01:00:00+01:00,A améliorer,59666001,"50.885364,2.374584",38 Route de Saint Omer,,24-007027-1,07565049900017
"VH, VSM, préparation viandes boucherie",MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2024-02-05T01:00:00+01:00,A améliorer,59666001,"50.885364,2.374584",38 Route de Saint Omer,,24-007030-1,07565049900017
"VH, VSM, préparation viandes boucherie",MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2024-02-05T01:00:00+01:00,A améliorer,,"50.885364,2.374584",38 Route de Saint Omer,,24-007276-1,07565049900017
Découpe de viande de boucherie,MAXIME TIMMERMAN ET COMPAGNIE,38 Route de Saint Omer,59470,Zegerscappel,Zegerscappel,2024-05-22T02:00:00+02:00,Satisfaisant,59666001,"50.885364,2.374584",38 Route de Saint Omer,,24-039705-1,07565049900017
Restaurants,AU SAINT MARTIN,685 BOULEVARD GEORGES POMPIDOU,59123,Bray-Dunes,Bray-Dunes,2024-06-04T02:00:00+02:00,A améliorer,,"51.079148,2.51635",685 BOULEVARD GEORGES POMPIDOU,Restaurants,24-042962-1,07714068900025
Restauration collective,ESAT,2  RUE DE JANVILLE,41290,Oucques La Nouvelle,Oucques La Nouvelle,2024-06-13T02:00:00+02:00,Satisfaisant,41171001,"47.818595,1.294691",2  RUE DE JANVILLE,Restauration collective,24-049186-1,08628031000102
Restaurants,SAKOULI HOTEL,PLAGE DE SAKOULI,97660,Bandrele,Bandrele,2024-03-21T01:00:00+01:00,Satisfaisant,,"-12.887453,45.213524",PLAGE DE SAKOULI,Restaurants,24-012989-1,09413641300013
Métier de bouche,BOULANGERIE TROPICALE,BOULANGERIE DE M'TSAPERE,97600,Mamoudzou,Mamoudzou,2024-06-25T02:00:00+02:00,Satisfaisant,,"-12.788565,45.22196",BOULANGERIE DE M'TSAPERE,Métiers de bouche,24-054359-1,09413692600014
Découpe de viande de boucherie,PEDAVIA,RTE AICIRITS,64120,Saint-Palais,Saint-Palais,2024-04-09T02:00:00+02:00,Satisfaisant,64493003,"43.393488,-1.031935",RTE AICIRITS,,24-025800-1,09588070400069
Transformation de produits carnés,PEDAVIA,700 avenue Théodore d'Arthez,64120,Saint-Palais,Saint-Palais,2024-04-09T02:00:00+02:00,Satisfaisant,64493003,"43.333689,-1.029746",700 avenue Théodore d'Arthez,,24-025845-1,09588070400069
"VH, VSM, préparation viandes boucherie",PEDAVIA,RTE AICIRITS,64120,Saint-Palais,Saint-Palais,2024-04-09T02:00:00+02:00,Satisfaisant,64493003,"43.393488,-1.031935",RTE AICIRITS,,24-025854-1,09588070400069
Entreposage de viande de boucherie,PEDAVIA,700 avenue Théodore d'Arthez,64120,Saint-Palais,Saint-Palais,2024-04-09T02:00:00+02:00,Satisfaisant,64493003,"43.333689,-1.029746",700 avenue Théodore d'Arthez,,24-028141-1,09588070400069
Découpe de viandes de volailles/lagomorphe,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2023-11-08T01:00:00+01:00,A améliorer,64119002,"43.220843,-0.233461",63 RUE DE LA RIBERE,,23-091605-1,09678083800015
Entreposage de viande de volailles,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2023-11-08T01:00:00+01:00,A améliorer,,"43.220843,-0.233461",63 RUE DE LA RIBERE,,23-091618-1,09678083800015
Transformation de produits carnés,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2024-03-07T01:00:00+01:00,Satisfaisant,64119002,"43.220843,-0.233461",63 RUE DE LA RIBERE,,23-093652-1,09678083800015
Traiteur,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2024-03-07T01:00:00+01:00,Satisfaisant,,"43.220843,-0.233461",63 RUE DE LA RIBERE,Métiers de bouche,23-097068-1,09678083800015
Centre d'emballage des oeufs,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2024-03-07T01:00:00+01:00,Satisfaisant,64119002,"43.220843,-0.233461",63 RUE DE LA RIBERE,,23-097069-1,09678083800015
Restauration collective,BIRABEN,63 RUE DE LA RIBERE,64800,Beuste,Beuste,2024-03-26T01:00:00+01:00,Très satisfaisant,64119002,"43.220843,-0.233461",63 RUE DE LA RIBERE,Restauration collective,24-025677-1,09678083800015
Restaurants,TAUZIA JEAN-CLAUDE,LA GRAVIERE,40390,Biaudos,Biaudos,2024-07-11T02:00:00+02:00,Très satisfaisant,,"43.535481,-1.316585",LA GRAVIERE,Restaurants,24-064322-1,09717303300057
"VH, VSM, préparation viandes boucherie",SOCIETE H. VIGNASSE ET G. DONNEY,Avenue de l'Aulouze,64170,Artix,Artix,2024-07-26T02:00:00+02:00,Satisfaisant,64061005,"43.392304,-0.565745",Avenue de l'Aulouze,,24-042762-1,09718055800039
Découpe de viande de boucherie,SOCIETE H. VIGNASSE ET G. DONNEY,Avenue de l'Aulouze,64170,Artix,Artix,2024-07-26T02:00:00+02:00,Satisfaisant,64061005,"43.392304,-0.565745",Avenue de l'Aulouze,,24-070936-1,09718055800039
Entreposage de viande de boucherie,SOCIETE H. VIGNASSE ET G. DONNEY,Avenue de l'Aulouze,64170,Artix,Artix,2024-07-26T02:00:00+02:00,Satisfaisant,,"43.392304,-0.565745",Avenue de l'Aulouze,,24-070945-1,09718055800039
Transformation de lait ou produits laitiers,LAITERIE DE MAYOTTE,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2023-10-31T01:00:00+01:00,Satisfaisant,97611003,"-12.763068,45.22636",ZI KAWENI,,23-013272-1,09937856400019
Transport de denrées alimentaires,LAITERIE DE MAYOTTE,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2024-04-04T02:00:00+02:00,Satisfaisant,,"-12.763068,45.22636",ZI KAWENI,,24-013655-1,09937856400019
Transport de denrées alimentaires,LAITERIE DE MAYOTTE,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2024-04-04T02:00:00+02:00,Satisfaisant,,"-12.763068,45.22636",ZI KAWENI,,24-013656-1,09937856400019
Découpe de viande de boucherie,SOCIETE DE DISTRIBUTION FRANCO MAHORAISE SAS,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2024-04-29T02:00:00+02:00,Satisfaisant,97611004,"-12.763068,45.22636",ZI KAWENI,,24-013232-1,09938291300012
Transport de denrées alimentaires,SOCIETE DE DISTRIBUTION FRANCO MAHORAISE SAS,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2024-04-04T02:00:00+02:00,Satisfaisant,,"-12.763068,45.22636",ZI KAWENI,,24-013653-1,09938291300012
Transport de denrées alimentaires,SOCIETE DE DISTRIBUTION FRANCO MAHORAISE SAS,ZI KAWENI,97600,Mamoudzou,Mamoudzou,2024-04-04T02:00:00+02:00,Satisfaisant,,"-12.763068,45.22636",ZI KAWENI,,24-013654-1,09938291300012
Libre service,SOCIETE DE DISTRIBUTION FRANCO MAHORAISE SAS,QUARTIER CARREFOUR,97650,Bandraboua,Bandraboua,2023-10-25T02:00:00+02:00,Satisfaisant,,"-12.70135,45.123231",QUARTIER CARREFOUR,Supermarchés/alimentation générale,23-088774-1,09938291300087
Restauration collective,REPUBLIQUE FRANCAISE PRESIDENCE,11 QUAI BRANLY,75007,Paris 7e  Arrondissement,Paris 7e  Arrondissement,2024-07-11T02:00:00+02:00,Satisfaisant,,"48.862043,2.300028",11 QUAI BRANLY,Restauration collective,24-063133-1,10000001700010
Restauration collective,CONSEIL D ETAT,1 PLACE DU PALAIS ROYAL,75001,Paris 1er Arrondissement,Paris 1er Arrondissement,2024-03-01T01:00:00+01:00,A améliorer,,"48.862728,2.336185",1 PLACE DU PALAIS ROYAL,Restauration collective,24-014390-1,10200000700744
Restauration collective,AGENCE DE SANTE DU TERRITOIRE DES ILES WALLIS ET FUTUNA,,98600,Uvea,Uvea,2024-07-09T02:00:00+02:00,Très satisfaisant,,"-13.285,-176.207",,Restauration collective,24-061780-1,13000323900014
Restauration collective,ECOLE DES HAUTES ETUDES EN SANTE PUBLIQUE,15 Av. du Professeur Léon Bernard,35043,Rennes,Rennes,2023-10-17T02:00:00+02:00,Satisfaisant,,,15 Av. du Professeur Léon Bernard,Restauration collective,23-084687-1,13000362700010
Restauration collective,GROUPEMENT D'INTERET PUBLIC BRETAGNE SANTE LOGISITQUE,Route de Calan,56850,Caudan,Caudan,2024-05-30T02:00:00+02:00,Satisfaisant,56036803,"47.791222,-3.352302",Route de Calan,Restauration collective,24-041383-1,13000394000025
Restauration collective,GROUPEMENT DE COOPERATION SOCIALE ET MEDICO SOCIALE LES EHPAD PUBLICS DU VAL DE MARNE,73 RUE D ESTIENNE D ORVES,94120,Fontenay-sous-Bois,Fontenay-sous-Bois,2024-03-19T01:00:00+01:00,Très satisfaisant,94033045,"48.853456,2.452594",73 RUE D ESTIENNE D ORVES,Restauration collective,24-019202-1,13000409600017
Restauration collective,DIRECTION GENERALE,SELF ET CLUB DE DIRECTION,75020,Paris 20e  Arrondissement,Paris 20e  Arrondissement,2024-07-03T02:00:00+02:00,A améliorer,,,SELF ET CLUB DE DIRECTION,Restauration collective,24-059105-1,13000548100010
Restauration collective,DIRECTION GENERALE,CAFETERIA,,Non Renseigné,Non Renseigné,2024-07-03T02:00:00+02:00,A améliorer,,"47.394332,-0.552237",CAFETERIA,Restauration collective,24-061192-1,13000548100010
Restauration collective,"SGMAS DAEI, DAJ, DICOM, HFDS",78 rue Olivier de Serres,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2024-01-05T01:00:00+01:00,Satisfaisant,,"48.833171,2.294297",78 rue Olivier de Serres,Restauration collective,24-000377-1,13000680200016
Restauration collective,"SGMAS DAEI, DAJ, DICOM, HFDS",78 rue Olivier de Serres,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2024-01-05T01:00:00+01:00,Satisfaisant,,"48.833171,2.294297",78 rue Olivier de Serres,Restauration collective,24-000437-1,13000680200016
Restauration collective,INSTITUT NATIONAL DU SPORT DE L EXPERTISE ET DE LA PERFORMANCE,11 AV DU TREMBLAY,75012,Paris 12e  Arrondissement,Paris 12e  Arrondissement,2024-08-06T02:00:00+02:00,Satisfaisant,,"48.833925,2.454596",11 AV DU TREMBLAY,Restauration collective,24-076111-1,13001080400016
Restauration collective,DIRECTION EVALUATION  PROSPECTIVE ET  PERFORMANCE,61-65 RUE DUTOT,75015,Paris 15e  Arrondissement,Paris 15e  Arrondissement,2023-12-29T01:00:00+01:00,Satisfaisant,,"48.837993,2.308356",61-65 RUE DUTOT,Restauration collective,23-107507-1,13001193500025
Restauration collective,CUISINE CENTRALE ET PRESTATIONS ANNEXES,20 RUE DE L'ANCIENNE MARE,79430,La Chapelle-Saint-Laurent,La Chapelle-Saint-Laurent,2023-10-12T02:00:00+02:00,Très satisfaisant,,"46.745809,-0.478719",20 RUE DE L'ANCIENNE MARE,Restauration collective,23-082988-1,13001238800026
Restauration collective,GROUPEMENT DE COOPERATION SOCIALE ET MEDICO SOCIALE ESTUAIRE,"66, Avenue de Bodon",44250,Saint-Brevin-les-Pins,Saint-Brevin-les-Pins,2024-07-05T02:00:00+02:00,Satisfaisant,44154003,"47.268282,-2.154014","66, Avenue de Bodon",Restauration collective,24-061730-1,13001380800014
Restauration collective,CAMPUS DE L EXCELLENCE SPORTIVE DE BRETAGNE,24 Rue des Marettes,35800,Dinard,Dinard,2024-03-21T01:00:00+01:00,Satisfaisant,,"48.636794,-2.061499",24 Rue des Marettes,Restauration collective,24-020192-1,13001397200026
Découpe de viande de boucherie,CFA ANDRE FARGIER,Route de l'aérodrome,7200,Lanas,Lanas,2024-03-13T01:00:00+01:00,Très satisfaisant,07131001,"44.540011,4.366584",Route de l'aérodrome,,24-018019-1,13001400400043
Restauration collective,BLANCHISSERIE-STERILISATION-UCP - SITE DE DIGNE,SAINT CHRISTOPHE,4000,Digne-les-Bains,Digne-les-Bains,2024-06-04T02:00:00+02:00,Satisfaisant,04070001,"44.078833,6.193278",SAINT CHRISTOPHE,Restauration collective,24-047942-1,13001552200043
Restauration collective,GROUPEMENT DE COOPERATION SANITAIRE INTER HOSPITALIER DES ARDENNES,196 route de WARCQ,8000,Charleville-Mézières,Charleville-Mézières,2024-02-15T01:00:00+01:00,Très satisfaisant,08105008,"49.764896,4.694439",196 route de WARCQ,Restauration collective,24-009683-1,13001794000011
Restauration collective,ANTENNE INSPE MONT DE MARSAN,ESPE MONT DE MARSAN,40000,Mont-de-Marsan,Mont-de-Marsan,2024-04-30T02:00:00+02:00,Très satisfaisant,,"43.891274,-0.50031",ESPE MONT DE MARSAN,Restauration collective,24-032159-1,13001835100184
Transport de denrées alimentaires,GROUPEMENT DE COOPERATION SANITAIRE DE MOYENS DU CLERMONTOIS,rue guy boulet,60600,Fitz-James,Fitz-James,2024-04-17T02:00:00+02:00,Très satisfaisant,,"49.390909,2.428239",rue guy boulet,,24-001506-1,13001917700018
Restauration collective,GROUPEMENT DE COOPERATION SANITAIRE DE MOYENS DU CLERMONTOIS,ROUTE DEPARTEMENTALE D931,60600,Fitz-James,Fitz-James,2024-04-17T02:00:00+02:00,Très satisfaisant,60234001,"49.405062,2.404708",ROUTE DEPARTEMENTALE D931,Restauration collective,24-004219-1,13001917700018
Découpe de viande de boucherie,CMA FORMATION NANTES,1 PLACE JACQUES CHESNE,44983,Carquefou,Carquefou,2024-04-17T02:00:00+02:00,Satisfaisant,44172040,"47.26314,-1.488608",1 PLACE JACQUES CHESNE,,24-032277-1,13002068800045
Découpe de viande de boucherie,CMA FORMATION ANGERS,3 RUE DARWIN,49008,Angers,Angers,2024-05-06T02:00:00+02:00,Satisfaisant,49007546,,3 RUE DARWIN,,24-033062-1,13002068800086
Découpe de viande de boucherie,CMA FORMATION LAVAL,30 BD VOLNEY,53000,Laval,Laval,2024-02-21T01:00:00+01:00,A améliorer,53130035,"48.056972,-0.793388",30 BD VOLNEY,,24-011461-1,13002068800102
"VH, VSM, préparation viandes boucherie",CFA,12 BOULEVARD SAINT ROCH,84009,Avignon,Avignon,2023-09-20T02:00:00+02:00,Très satisfaisant,84007004,"43.942881,4.800956",12 BOULEVARD SAINT ROCH,,23-074831-1,13002087800158
Découpe de viande de boucherie,CCI FINISTERE IFAC - CAMPUS DES METIERS,465 RUE DE KERLAURENT,29490,Guipavas,Guipavas,2023-12-15T01:00:00+01:00,Très satisfaisant,29075022,"48.421065,-4.447248",465 RUE DE KERLAURENT,,23-107896-1,13002293200086
Halle à M./1ére vente/Vente en gros produits de la pêche,CCI FINISTERE PORT CONCARNEAU,QUAI CARNOT,29182,Concarneau,Concarneau,2023-12-14T01:00:00+01:00,Satisfaisant,29039500,"47.87627,-3.91111",QUAI CARNOT,,23-106370-1,13002293200177
Halle à M./1ére vente/Vente en gros produits de la pêche,CCI FINISTERE PORT DOUARNENEZ,TERRE PLEIN DU PORT,29172,Douarnenez,Douarnenez,2023-12-06T01:00:00+01:00,Très satisfaisant,29046501,"48.09751,-4.32593",TERRE PLEIN DU PORT,,23-101264-1,13002293200185
Halle à M./1ére vente/Vente en gros produits de la pêche,CCI FINISTERE PORT GUILVINEC,QUARTIER LA CRIEE,29730,Guilvinec,Guilvinec,2023-11-16T01:00:00+01:00,Satisfaisant,29072500,"47.795361,-4.28249",QUARTIER LA CRIEE,,23-096312-1,13002293200193
